task_id,density_tier,budget,smt_coverage,random_coverage
HardSynthetic.HardCase001,high,4,0.2857,0.2857
HardSynthetic.HardCase001,high,8,0.4286,0.4286
HardSynthetic.HardCase001,high,16,0.8571,0.8571
HardSynthetic.HardCase001,high,32,1.1429,0.8571
HardSynthetic.HardCase001,high,64,1.1429,0.8571
HardSynthetic.HardCase002,medium,4,0.2857,0.4286
HardSynthetic.HardCase002,medium,8,0.4286,0.7143
HardSynthetic.HardCase002,medium,16,0.8571,0.5714
HardSynthetic.HardCase002,medium,32,1.1429,0.8571
HardSynthetic.HardCase002,medium,64,1.1429,0.8571
HardSynthetic.HardCase003,high,4,0.2857,0.2857
HardSynthetic.HardCase003,high,8,0.4286,0.4286
HardSynthetic.HardCase003,high,16,0.8571,0.5714
HardSynthetic.HardCase003,high,32,1.1429,0.8571
HardSynthetic.HardCase003,high,64,1.1429,0.8571
HardSynthetic.HardCase004,low,4,0.2857,0.2857
HardSynthetic.HardCase004,low,8,0.4286,0.4286
HardSynthetic.HardCase004,low,16,0.8571,0.5714
HardSynthetic.HardCase004,low,32,1.1429,0.7143
HardSynthetic.HardCase004,low,64,1.1429,0.7143
HardSynthetic.HardCase005,medium,4,0.2857,0.2857
HardSynthetic.HardCase005,medium,8,0.4286,0.5714
HardSynthetic.HardCase005,medium,16,0.8571,0.7143
HardSynthetic.HardCase005,medium,32,1.1429,0.8571
HardSynthetic.HardCase005,medium,64,1.1429,0.7143
HardSynthetic.HardCase006,high,4,0.2857,0.4286
HardSynthetic.HardCase006,high,8,0.4286,0.2857
HardSynthetic.HardCase006,high,16,0.8571,0.7143
HardSynthetic.HardCase006,high,32,1.1429,0.8571
HardSynthetic.HardCase006,high,64,1.1429,0.8571
HardSynthetic.HardCase007,low,4,0.2857,0.2857
HardSynthetic.HardCase007,low,8,0.4286,0.5714
HardSynthetic.HardCase007,low,16,0.8571,0.8571
HardSynthetic.HardCase007,low,32,1.1429,0.5714
HardSynthetic.HardCase007,low,64,1.1429,0.8571
HardSynthetic.HardCase008,low,4,0.2857,0.2857
HardSynthetic.HardCase008,low,8,0.4286,0.4286
HardSynthetic.HardCase008,low,16,0.8571,0.8571
HardSynthetic.HardCase008,low,32,1.1429,0.8571
HardSynthetic.HardCase008,low,64,1.1429,0.8571
HardSynthetic.HardCase009,high,4,0.2857,0.4286
HardSynthetic.HardCase009,high,8,0.4286,0.4286
HardSynthetic.HardCase009,high,16,0.8571,0.7143
HardSynthetic.HardCase009,high,32,1.1429,0.8571
HardSynthetic.HardCase009,high,64,1.1429,0.8571
HardSynthetic.HardCase010,medium,4,0.2857,0.2857
HardSynthetic.HardCase010,medium,8,0.4286,0.5714
HardSynthetic.HardCase010,medium,16,0.8571,0.8571
HardSynthetic.HardCase010,medium,32,1.1429,0.8571
HardSynthetic.HardCase010,medium,64,1.1429,0.8571
HardSynthetic.HardCase011,high,4,0.2857,0.2857
HardSynthetic.HardCase011,high,8,0.4286,0.4286
HardSynthetic.HardCase011,high,16,0.8571,0.8571
HardSynthetic.HardCase011,high,32,1.1429,0.8571
HardSynthetic.HardCase011,high,64,1.1429,0.8571
HardSynthetic.HardCase012,high,4,0.2857,0.2857
HardSynthetic.HardCase012,high,8,0.4286,0.5714
HardSynthetic.HardCase012,high,16,0.8571,0.8571
HardSynthetic.HardCase012,high,32,1.1429,0.8571
HardSynthetic.HardCase012,high,64,1.1429,0.8571
HardSynthetic.HardCase013,low,4,0.2857,0.1429
HardSynthetic.HardCase013,low,8,0.4286,0.7143
HardSynthetic.HardCase013,low,16,0.8571,0.8571
HardSynthetic.HardCase013,low,32,1.1429,0.7143
HardSynthetic.HardCase013,low,64,1.1429,0.8571
HardSynthetic.HardCase014,low,4,0.2857,0.2857
HardSynthetic.HardCase014,low,8,0.4286,0.7143
HardSynthetic.HardCase014,low,16,0.8571,0.8571
HardSynthetic.HardCase014,low,32,1.1429,0.7143
HardSynthetic.HardCase014,low,64,1.1429,0.8571
HardSynthetic.HardCase015,high,4,0.2857,0.4286
HardSynthetic.HardCase015,high,8,0.4286,0.2857
HardSynthetic.HardCase015,high,16,0.8571,0.8571
HardSynthetic.HardCase015,high,32,1.1429,0.7143
HardSynthetic.HardCase015,high,64,1.1429,0.8571
HardSynthetic.HardCase016,medium,4,0.2857,0.4286
HardSynthetic.HardCase016,medium,8,0.4286,0.2857
HardSynthetic.HardCase016,medium,16,0.8571,0.5714
HardSynthetic.HardCase016,medium,32,1.1429,0.7143
HardSynthetic.HardCase016,medium,64,1.1429,0.8571
HardSynthetic.HardCase017,medium,4,0.2857,0.4286
HardSynthetic.HardCase017,medium,8,0.4286,0.4286
HardSynthetic.HardCase017,medium,16,0.8571,0.7143
HardSynthetic.HardCase017,medium,32,1.1429,1.0
HardSynthetic.HardCase017,medium,64,1.1429,1.0
HardSynthetic.HardCase018,low,4,0.2857,0.2857
HardSynthetic.HardCase018,low,8,0.4286,0.2857
HardSynthetic.HardCase018,low,16,0.8571,0.5714
HardSynthetic.HardCase018,low,32,1.1429,0.8571
HardSynthetic.HardCase018,low,64,1.1429,0.8571
HardSynthetic.HardCase019,high,4,0.2857,0.4286
HardSynthetic.HardCase019,high,8,0.4286,0.5714
HardSynthetic.HardCase019,high,16,0.8571,0.8571
HardSynthetic.HardCase019,high,32,1.1429,0.7143
HardSynthetic.HardCase019,high,64,1.1429,0.8571
HardSynthetic.HardCase020,medium,4,0.2857,0.4286
HardSynthetic.HardCase020,medium,8,0.4286,0.5714
HardSynthetic.HardCase020,medium,16,0.8571,0.7143
HardSynthetic.HardCase020,medium,32,1.1429,0.8571
HardSynthetic.HardCase020,medium,64,1.1429,0.8571
HardSynthetic.HardCase021,low,4,0.2857,0.2857
HardSynthetic.HardCase021,low,8,0.4286,0.2857
HardSynthetic.HardCase021,low,16,0.8571,0.8571
HardSynthetic.HardCase021,low,32,1.1429,0.8571
HardSynthetic.HardCase021,low,64,1.1429,0.8571
HardSynthetic.HardCase022,low,4,0.2857,0.2857
HardSynthetic.HardCase022,low,8,0.4286,0.4286
HardSynthetic.HardCase022,low,16,0.8571,0.5714
HardSynthetic.HardCase022,low,32,1.1429,1.0
HardSynthetic.HardCase022,low,64,1.1429,1.0
HardSynthetic.HardCase023,high,4,0.2857,0.2857
HardSynthetic.HardCase023,high,8,0.4286,0.4286
HardSynthetic.HardCase023,high,16,0.8571,0.7143
HardSynthetic.HardCase023,high,32,1.1429,1.0
HardSynthetic.HardCase023,high,64,1.1429,1.0
HardSynthetic.HardCase024,high,4,0.2857,0.2857
HardSynthetic.HardCase024,high,8,0.4286,0.5714
HardSynthetic.HardCase024,high,16,0.8571,0.5714
HardSynthetic.HardCase024,high,32,1.1429,0.8571
HardSynthetic.HardCase024,high,64,1.1429,0.7143
HardSynthetic.HardCase025,low,4,0.2857,0.2857
HardSynthetic.HardCase025,low,8,0.4286,0.4286
HardSynthetic.HardCase025,low,16,0.8571,0.5714
HardSynthetic.HardCase025,low,32,1.1429,0.8571
HardSynthetic.HardCase025,low,64,1.1429,0.8571
HardSynthetic.HardCase026,low,4,0.2857,0.2857
HardSynthetic.HardCase026,low,8,0.4286,0.5714
HardSynthetic.HardCase026,low,16,0.8571,0.8571
HardSynthetic.HardCase026,low,32,1.1429,0.8571
HardSynthetic.HardCase026,low,64,1.1429,0.8571
HardSynthetic.HardCase027,low,4,0.2857,0.2857
HardSynthetic.HardCase027,low,8,0.4286,0.5714
HardSynthetic.HardCase027,low,16,0.8571,0.7143
HardSynthetic.HardCase027,low,32,1.1429,0.8571
HardSynthetic.HardCase027,low,64,1.1429,0.8571
HardSynthetic.HardCase028,low,4,0.2857,0.2857
HardSynthetic.HardCase028,low,8,0.4286,0.2857
HardSynthetic.HardCase028,low,16,0.8571,0.5714
HardSynthetic.HardCase028,low,32,1.1429,0.5714
HardSynthetic.HardCase028,low,64,1.1429,0.8571
HardSynthetic.HardCase029,medium,4,0.2857,0.2857
HardSynthetic.HardCase029,medium,8,0.4286,0.4286
HardSynthetic.HardCase029,medium,16,0.8571,0.7143
HardSynthetic.HardCase029,medium,32,1.1429,0.8571
HardSynthetic.HardCase029,medium,64,1.1429,1.0
HardSynthetic.HardCase030,high,4,0.2857,0.4286
HardSynthetic.HardCase030,high,8,0.4286,0.5714
HardSynthetic.HardCase030,high,16,0.8571,0.8571
HardSynthetic.HardCase030,high,32,1.1429,0.7143
HardSynthetic.HardCase030,high,64,1.1429,0.8571
HardSynthetic.HardCase032,low,4,0.2857,0.2857
HardSynthetic.HardCase032,low,8,0.4286,0.5714
HardSynthetic.HardCase032,low,16,0.8571,0.7143
HardSynthetic.HardCase032,low,32,1.1429,0.5714
HardSynthetic.HardCase032,low,64,1.1429,0.8571
HardSynthetic.HardCase033,low,4,0.2857,0.2857
HardSynthetic.HardCase033,low,8,0.4286,0.5714
HardSynthetic.HardCase033,low,16,0.8571,1.0
HardSynthetic.HardCase033,low,32,1.1429,0.8571
HardSynthetic.HardCase033,low,64,1.1429,1.0
HardSynthetic.HardCase034,low,4,0.2857,0.2857
HardSynthetic.HardCase034,low,8,0.4286,0.5714
HardSynthetic.HardCase034,low,16,0.8571,0.7143
HardSynthetic.HardCase034,low,32,1.1429,0.8571
HardSynthetic.HardCase034,low,64,1.1429,0.8571
HardSynthetic.HardCase035,low,4,0.2857,0.2857
HardSynthetic.HardCase035,low,8,0.4286,0.5714
HardSynthetic.HardCase035,low,16,0.8571,0.8571
HardSynthetic.HardCase035,low,32,1.1429,0.7143
HardSynthetic.HardCase035,low,64,1.1429,1.0
HardSynthetic.HardCase036,high,4,0.2857,0.4286
HardSynthetic.HardCase036,high,8,0.4286,0.5714
HardSynthetic.HardCase036,high,16,0.8571,0.7143
HardSynthetic.HardCase036,high,32,1.1429,1.0
HardSynthetic.HardCase036,high,64,1.1429,0.8571
HardSynthetic.HardCase037,low,4,0.2857,0.2857
HardSynthetic.HardCase037,low,8,0.4286,0.5714
HardSynthetic.HardCase037,low,16,0.8571,0.7143
HardSynthetic.HardCase037,low,32,1.1429,0.8571
HardSynthetic.HardCase037,low,64,1.1429,0.8571
HardSynthetic.HardCase038,high,4,0.2857,0.2857
HardSynthetic.HardCase038,high,8,0.4286,0.5714
HardSynthetic.HardCase038,high,16,0.8571,0.8571
HardSynthetic.HardCase038,high,32,1.1429,0.8571
HardSynthetic.HardCase038,high,64,1.1429,0.8571
HardSynthetic.HardCase039,high,4,0.2857,0.2857
HardSynthetic.HardCase039,high,8,0.4286,0.5714
HardSynthetic.HardCase039,high,16,0.8571,0.7143
HardSynthetic.HardCase039,high,32,1.1429,0.8571
HardSynthetic.HardCase039,high,64,1.1429,0.8571
HardSynthetic.HardCase040,low,4,0.2857,0.2857
HardSynthetic.HardCase040,low,8,0.4286,0.2857
HardSynthetic.HardCase040,low,16,0.8571,0.5714
HardSynthetic.HardCase040,low,32,1.1429,0.7143
HardSynthetic.HardCase040,low,64,1.1429,0.8571
HardSynthetic.HardCase041,medium,4,0.2857,0.4286
HardSynthetic.HardCase041,medium,8,0.4286,0.4286
HardSynthetic.HardCase041,medium,16,0.8571,0.5714
HardSynthetic.HardCase041,medium,32,1.1429,0.8571
HardSynthetic.HardCase041,medium,64,1.1429,0.8571
HardSynthetic.HardCase042,high,4,0.2857,0.2857
HardSynthetic.HardCase042,high,8,0.4286,0.5714
HardSynthetic.HardCase042,high,16,0.8571,0.7143
HardSynthetic.HardCase042,high,32,1.1429,0.7143
HardSynthetic.HardCase042,high,64,1.1429,0.7143
HardSynthetic.HardCase043,medium,4,0.2857,0.4286
HardSynthetic.HardCase043,medium,8,0.4286,0.4286
HardSynthetic.HardCase043,medium,16,0.8571,0.5714
HardSynthetic.HardCase043,medium,32,1.1429,0.7143
HardSynthetic.HardCase043,medium,64,1.1429,0.8571
HardSynthetic.HardCase044,low,4,0.2857,0.2857
HardSynthetic.HardCase044,low,8,0.4286,0.7143
HardSynthetic.HardCase044,low,16,0.8571,0.8571
HardSynthetic.HardCase044,low,32,1.1429,1.0
HardSynthetic.HardCase044,low,64,1.1429,1.0
HardSynthetic.HardCase045,low,4,0.2857,0.2857
HardSynthetic.HardCase045,low,8,0.4286,0.5714
HardSynthetic.HardCase045,low,16,0.8571,0.5714
HardSynthetic.HardCase045,low,32,1.1429,0.7143
HardSynthetic.HardCase045,low,64,1.1429,0.7143
HardSynthetic.HardCase046,low,4,0.2857,0.2857
HardSynthetic.HardCase046,low,8,0.4286,0.5714
HardSynthetic.HardCase046,low,16,0.8571,0.8571
HardSynthetic.HardCase046,low,32,1.1429,0.8571
HardSynthetic.HardCase046,low,64,1.1429,1.0
HardSynthetic.HardCase047,low,4,0.2857,0.2857
HardSynthetic.HardCase047,low,8,0.4286,0.5714
HardSynthetic.HardCase047,low,16,0.8571,0.5714
HardSynthetic.HardCase047,low,32,1.1429,0.8571
HardSynthetic.HardCase047,low,64,1.1429,0.8571
HardSynthetic.HardCase048,low,4,0.2857,0.2857
HardSynthetic.HardCase048,low,8,0.4286,0.7143
