overlap_density_tier,mode,mean_conf,n
high,A1,0.8505639097744361,38
high,A2,0.8275375939849624,38
high,A3,0.7814849624060151,38
high,B0,0.8735902255639098,38
high,B1,0.8735902255639098,38
high,B2,0.8505639097744361,38
high,M,0.8505639097744361,38
low,A1,0.8814382896015549,49
low,A2,0.8244655004859087,49
low,A3,0.8576287657920312,49
low,B0,0.9188532555879495,49
low,B1,0.9188532555879495,49
low,B2,0.8992954324586977,49
low,M,0.8992954324586977,49
medium,A1,0.821969696969697,33
medium,A2,0.7424242424242424,33
medium,A3,0.821969696969697,33
medium,B0,0.875,33
medium,B1,0.875,33
medium,B2,0.875,33
medium,M,0.821969696969697,33
