task_id,mode,conf,overlap_density_tier
HardSynthetic.HardCase004,B0,0.9583333333333334,low
HardSynthetic.HardCase002,B0,0.875,medium
HardSynthetic.HardCase003,B0,0.875,high
HardSynthetic.HardCase006,B0,0.875,high
HardSynthetic.HardCase005,B0,0.875,medium
HardSynthetic.HardCase001,B0,0.875,high
HardSynthetic.HardCase009,B0,0.875,high
HardSynthetic.HardCase008,B0,0.875,medium
HardSynthetic.HardCase007,B0,0.875,medium
HardSynthetic.HardCase010,B0,0.9583333333333334,low
HardSynthetic.HardCase011,B0,0.875,high
HardSynthetic.HardCase012,B0,0.875,high
HardSynthetic.HardCase013,B0,0.9583333333333334,low
HardSynthetic.HardCase014,B0,0.875,low
HardSynthetic.HardCase016,B0,0.875,medium
HardSynthetic.HardCase015,B0,0.875,high
HardSynthetic.HardCase017,B0,0.875,low
HardSynthetic.HardCase018,B0,0.875,medium
HardSynthetic.HardCase020,B0,0.875,medium
HardSynthetic.HardCase019,B0,0.875,high
HardSynthetic.HardCase021,B0,0.875,medium
HardSynthetic.HardCase022,B0,0.875,low
HardSynthetic.HardCase024,B0,0.875,high
HardSynthetic.HardCase027,B0,0.875,medium
HardSynthetic.HardCase025,B0,0.9583333333333334,low
HardSynthetic.HardCase026,B0,0.875,medium
HardSynthetic.HardCase023,B0,0.875,high
HardSynthetic.HardCase030,B0,0.875,high
HardSynthetic.HardCase029,B0,1.0,low
HardSynthetic.HardCase028,B0,0.875,low
HardSynthetic.HardCase032,B0,0.9583333333333334,low
HardSynthetic.HardCase033,B0,0.875,low
HardSynthetic.HardCase034,B0,0.9583333333333334,low
HardSynthetic.HardCase036,B0,0.875,high
HardSynthetic.HardCase038,B0,0.875,high
HardSynthetic.HardCase035,B0,0.875,low
HardSynthetic.HardCase039,B0,0.875,high
HardSynthetic.HardCase040,B0,0.875,low
HardSynthetic.HardCase037,B0,0.9583333333333334,low
HardSynthetic.HardCase041,B0,0.875,medium
HardSynthetic.HardCase042,B0,0.875,high
HardSynthetic.HardCase043,B0,0.875,medium
HardSynthetic.HardCase044,B0,0.875,low
HardSynthetic.HardCase045,B0,0.875,low
HardSynthetic.HardCase046,B0,0.875,low
HardSynthetic.HardCase049,B0,1.0,low
