mode,n,quality,latency_ms,success_rate,strict_failures
A1,120,0.8553075396825397,58639.276094167384,0.05,2.4583333333333335
A2,120,0.8028769841269842,39935.047169166624,0.05,2.316666666666667
A3,120,0.8237103174603175,6630.775695834018,0.03333333333333333,2.4166666666666665
B0,120,0.8924603174603175,185.2065916669138,0.05,2.566666666666667
B1,120,0.8924603174603175,11679.47029583423,0.05,2.566666666666667
B2,120,0.8771825396825397,13863.507735832902,0.05,2.533333333333333
B3,120,0.8188492063492063,13209.890341670447,0.05,2.3333333333333335
B4,120,0.8705853174603175,10757.504294164633,0.05,2.4916666666666667
B5,120,0.8108630952380953,6211.814530837,0.05,2.325
M,120,0.8625992063492063,46161.48890000016,0.05,2.4833333333333334
