mode,attempt,conf,task_id,source
B2,1,0.0,HardSynthetic.HardCase001,attempt_history
B2,1,0.0,HardSynthetic.HardCase002,attempt_history
B2,1,0.0,HardSynthetic.HardCase004,attempt_history
B2,1,0.0,HardSynthetic.HardCase005,attempt_history
B2,1,0.0,HardSynthetic.HardCase007,attempt_history
B2,1,0.0,HardSynthetic.HardCase008,attempt_history
B2,1,0.0,HardSynthetic.HardCase009,attempt_history
B2,1,0.0,HardSynthetic.HardCase010,attempt_history
B2,1,0.0,HardSynthetic.HardCase012,attempt_history
B2,1,0.0,HardSynthetic.HardCase013,attempt_history
B2,1,0.0,HardSynthetic.HardCase015,attempt_history
B2,1,0.0,HardSynthetic.HardCase016,attempt_history
B2,1,0.0,HardSynthetic.HardCase017,attempt_history
B2,1,0.0,HardSynthetic.HardCase018,attempt_history
B2,1,0.0,HardSynthetic.HardCase003,attempt_history
B2,1,0.0,HardSynthetic.HardCase019,attempt_history
B2,1,0.0,HardSynthetic.HardCase006,attempt_history
B2,1,0.0,HardSynthetic.HardCase020,attempt_history
B2,1,0.0,HardSynthetic.HardCase021,attempt_history
B2,1,0.0,HardSynthetic.HardCase023,attempt_history
B2,1,0.0,HardSynthetic.HardCase024,attempt_history
B2,1,0.0,HardSynthetic.HardCase026,attempt_history
B2,1,0.0,HardSynthetic.HardCase027,attempt_history
B2,1,0.0,HardSynthetic.HardCase028,attempt_history
B2,1,0.0,HardSynthetic.HardCase029,attempt_history
B2,1,0.0,HardSynthetic.HardCase032,attempt_history
B2,1,0.0,HardSynthetic.HardCase034,attempt_history
B2,1,0.0,HardSynthetic.HardCase033,attempt_history
B2,1,0.0,HardSynthetic.HardCase035,attempt_history
B2,1,0.0,HardSynthetic.HardCase014,attempt_history
B2,1,0.0,HardSynthetic.HardCase036,attempt_history
B2,1,0.0,HardSynthetic.HardCase038,attempt_history
B2,1,0.0,HardSynthetic.HardCase037,attempt_history
B2,1,0.0,HardSynthetic.HardCase040,attempt_history
B2,1,0.0,HardSynthetic.HardCase011,attempt_history
B2,1,0.0,HardSynthetic.HardCase042,attempt_history
B2,1,0.0,HardSynthetic.HardCase043,attempt_history
B2,1,0.0,HardSynthetic.HardCase044,attempt_history
B2,1,0.0,HardSynthetic.HardCase022,attempt_history
B2,1,0.0,HardSynthetic.HardCase045,attempt_history
B2,1,0.0,HardSynthetic.HardCase048,attempt_history
