mode,n,success_rate,strict_conformance,mutation_kill_rate,latency_ms,strict_failures
A1,120,0.05,0.8553075396825397,0.4947916666666667,58639.276094167384,2.4583333333333335
A2,120,0.05,0.8028769841269842,0.509375,39935.047169166624,2.316666666666667
A3,120,0.03333333333333333,0.8237103174603175,0.5104166666666666,6630.775695834018,2.4166666666666665
B0,120,0.05,0.8924603174603175,0.4864583333333333,185.2065916669138,2.566666666666667
B1,120,0.05,0.8924603174603175,0.4864583333333333,11679.47029583423,2.566666666666667
B2,120,0.05,0.8771825396825397,0.48854166666666665,13863.507735832902,2.533333333333333
B3,120,0.05,0.8188492063492063,0.5104166666666666,13209.890341670447,2.3333333333333335
B4,120,0.05,0.8705853174603175,0.49270833333333336,10757.504294164633,2.4916666666666667
B5,120,0.05,0.8108630952380953,0.50625,6211.814530837,2.325
M,120,0.05,0.8625992063492063,0.4979166666666667,46161.48890000016,2.4833333333333334
